Clip Index,Tag ID,Tag Time,Video Start (s),Clip Duration (s),Eject Time (s),Hold Time (s),Retract Time (s),Detected During Retract,Output File,Status
196,0,2026-04-28 07:14:24,47227.5,16.0,1.0,10.0,4.0,No,possible_feed_clips\bee_0\bee_0_feed_0196.mp4,Saved
197,0,2026-04-28 07:14:40,47243.5,15.0,3.0,10.0,1.0,No,possible_feed_clips\bee_0\bee_0_feed_0197.mp4,Saved
198,0,2026-04-28 07:14:54,,,0.0,0.0,0.0,Yes,,Skipped: zero duration
199,0,2026-04-28 07:15:02,47265.5,15.0,1.0,10.0,3.0,No,possible_feed_clips\bee_0\bee_0_feed_0199.mp4,Saved
200,0,2026-04-28 07:15:19,47282.5,15.0,2.0,10.0,2.0,No,possible_feed_clips\bee_0\bee_0_feed_0200.mp4,Saved
201,0,2026-04-28 07:15:33,,,0.0,0.0,0.0,Yes,,Skipped: zero duration
202,0,2026-04-28 07:19:42,47545.5,16.0,2.0,10.0,3.0,No,possible_feed_clips\bee_0\bee_0_feed_0202.mp4,Saved
203,0,2026-04-28 07:21:04,47627.5,15.0,1.0,10.0,3.0,No,possible_feed_clips\bee_0\bee_0_feed_0203.mp4,Saved
204,0,2026-04-28 07:22:40,47723.5,16.0,2.0,10.0,3.0,No,possible_feed_clips\bee_0\bee_0_feed_0204.mp4,Saved
205,0,2026-04-28 07:23:22,47765.5,12.0,1.0,10.0,0.0,No,possible_feed_clips\bee_0\bee_0_feed_0205.mp4,Saved
206,0,2026-04-28 07:23:33,,,0.0,0.0,0.0,Yes,,Skipped: zero duration
207,0,2026-04-28 07:23:53,47796.5,15.0,0.0,10.0,4.0,No,possible_feed_clips\bee_0\bee_0_feed_0207.mp4,Saved
208,0,2026-04-28 07:25:54,47917.5,16.0,1.0,10.0,4.0,No,possible_feed_clips\bee_0\bee_0_feed_0208.mp4,Saved
209,0,2026-04-28 07:27:35,48018.5,16.0,2.0,10.0,3.0,No,possible_feed_clips\bee_0\bee_0_feed_0209.mp4,Saved
210,0,2026-04-28 07:27:51,48034.5,18.0,3.0,10.0,4.0,No,possible_feed_clips\bee_0\bee_0_feed_0210.mp4,Saved
211,0,2026-04-28 07:28:18,48061.5,15.0,0.0,10.0,4.0,No,possible_feed_clips\bee_0\bee_0_feed_0211.mp4,Saved
212,0,2026-04-28 07:29:02,48105.5,16.0,1.0,10.0,4.0,No,possible_feed_clips\bee_0\bee_0_feed_0212.mp4,Saved
213,0,2026-04-28 07:29:39,48142.5,15.0,1.0,10.0,3.0,No,possible_feed_clips\bee_0\bee_0_feed_0213.mp4,Saved
214,0,2026-04-28 07:29:59,48162.5,15.0,1.0,10.0,3.0,No,possible_feed_clips\bee_0\bee_0_feed_0214.mp4,Saved
